Word,Count
*,3031
the,821
,732
by,621
use,604
on,505
Created,460
external,456
of,388
IDE,343
2016-jul-11,343
Feature:,338
Component:,338
COSMAPE-Feature,301
is,295
and,277
This,262
(important),228
internal,228
to,221
interface,216
component,203
a,196
private,189
business,184
required,173
provided,161
+,159
\"\\,155
methods,152
=,147
TODO:,113
be,112
ArchyWin,112
void,112
},104
\name,\,102
@author,100
method,97
used,94
Cosmapek,93
for,91
{,89
with,83
in,79
Prop4J,78
return,76
special,76
synchronized,76
public,74
it,73
part,73
Junior,72
components,72
Casquina,72
must,71
Cupe,71
class,70
General,69
Public,69
Lesser,69
License,69
GNU,69
//internal,68
Class<?>,68
type);,68
A,62
or,61
FeatureIDE,60
that,56
sensor,56
Monitor,55
\"\);\,54
@param,54
if,54
MasterCardB,53
VisaC,53
VisaA,53
VisaB,53
MasterCardA,53
Manages,53
type,52
monitors,50
componentName,50
See,48
All,47
at,47
version,46
new,46
example,46
here,45
also,43
runtime,43
configuration,43
COSMAPEK-Feature,42
Executor,42
present,42
as,42
manage,42
from,39
have,38
should,38
o,38
node,37
5/23/2015,37
Object,35
Java,35
(*),34
setProvidedInterfaceTypes(String,34
setRequiredInterfaceTypes(String,34
Payment,34
setProvidedInterface(String,34
facade);,34
Software,33
@Override,33
Android,31
@return,31
CreditCard,30
will,29
can,29
-,29
Signatures,28
concrete,28
signatures,28
equivalent,28
\not,\,28
businessMethod(param),28
5/25/2015,27
BankInvoice,26
BankTransfer,26
MoneyPayment,26
Catalogue,26
see,25
details,25
copy,25
implied,25
If,25
this,24
(at,24
more,24
but,24
true,24
modify,23
Free,23
either,23
received,23
even,23
MasterCardASensor,23
Germany,23
MasterCardBSensor,23
PARTICULAR,23
further,23
file,23
and/or,23
terms,23
hope,23
under,23
ANY,23
option),23
<http://www.gnu.org/licenses/>,23
information,23
feature,23
your,23
VisaBSensor,23
\License,\,23
free,23
MERCHANTABILITY,23
redistribute,23
\team,\,23
\useful,\,23
\Magdeburg,\,23
VisaASensor,23
without,23
later,23
3,23
University,23
VisaCSensor,23
PURPOSE,23
(C),23
along,23
published,23
software:,23
you,23
\Foundation,\,23
WITHOUT,23
any,23
Copyright,23
FOR,23
warranty,23
distributed,23
FITNESS,23
WARRANTY;,23
You,23
interfaces,21
constraint,21
nome,20
formula,20
Sensor(Activated)I:,19
ComponentFactory.createInstance();,19
e.toString());,19
Sensor,19
representation,19
all,19
totalTime,18
connects,18
timeSensorI,18
Time:,18
businessMethod(param){,18
Adaptation,18
timeSensorF,18
Produto,17
Thomas,17
String,17
given,17
Thuem,17
..,17
Sensor(Activated)F:,17
textual,16
its,16
getManagers();,16
not,15
propositional,15
int,15
->,15
calling,14
invoking,14
client,14
'synchronized',14
follow,14
origin,14
notation,14
provider,14
children,14
list,14
structure,14
updated,14
something;,14
Logic,14
Controller,14
\below,\,14
implemented,14
getManagers(),14
Each,14
contains,14
Library,13
into,13
'IVisaManager',13
Propositional,13
symbols,13
2007-2013,13
http://www.fosd.de/prop4j/,13
Formulas,13
App,12
Mï¿½todo,12
6/5/2015,12
\"\MasterCardA\,12
boolean,12
has,12
\"\VisaC\,11
||,11
threads,11
de,11
==,11
e,11
Tipo,10
Montando,10
Conn_sensors_MasterCardBSensor,10
error,10
2005-2013,10
\"\VisaA\,10
formata,10
Development,10
Framework,10
Conn_sensors_VisaBSensor,10
child,10
Conn_sensors_MasterCardASensor,10
printar,10
para,10
Feature-Oriented,10
Pega,10
http://www.fosd.de/featureide/,10
7/14/2015,10
array,10
URL,10
resuldado,10
parent,10
convert,10
ObservableList<Produto>,10
resultado,10
Conn_sensors_VisaCSensor,10
add,10
Conn_sensors_VisaASensor,10
Printa,10
null,9
'IMasterCardManager',9
an,9
Catch,9
\"\VisaB\,9
solver,9
\"\+timeSensorI+"\\,9
set,9
number,9
satisfiable,9
import,9
Sensor(Deactivated)I:,9
Sensor(Deactivated)F:,9
que,9
!=,8
5/26/2015,8
\"\+\,8
'VisaCSensor',8
static,8
iff,8
\"\+timeSensorF\,8
currentIndex,8
\+"\\,8
javafx.collections.ObservableList;,8
'VisaASensor',8
final,8
are,8
bracket,8
\log("\VisaB"\,\,8
:,8
mapekcosmos.connectors,8
'MasterCardASensor',8
\log("\MasterCardA"\,\,8
specified,8
'VisaBSensor',8
\log("\VisaC"\,\,8
\log("\VisaA"\,\,8
'MasterCardBSensor',8
strings,8
Conn_BankInvoice_Payment,7
for:,7
literals,7
Conn_VisaA_VisaASensor,7
Converts,7
Conn_Java_Controller,7
Conn_VisaC_VisaCSensor,7
Conn_BankTransfer_Payment,7
containing,7
Conn_MoneyPayment_Payment,7
Conn_MasterCardB_CreditCard,7
\iff,\,7
brackets,7
need,7
Conn_MasterCardA_CreditCard,7
Conn_VisaB_CreditCard,7
\implies,\,7
\"\Error\,7
\and,\,7
FMCorePlugin.getDefault().logError(e);,7
Conn_MasterCardA_MasterCardASensor,7
\or,\,7
nodes,7
Conn_VisaA_CreditCard,7
solutions,7
Conn_MasterCardB_MasterCardBSensor,7
added,7
Conn_VisaB_VisaBSensor,7
<p>,7
Conn_VisaC_CreditCard,7
'IGUIManager',7
Conn_Catalogue_Controller,7
Conn_CreditCard_Payment,7
Conn_Payment_Controller,7
Conn_Android_Controller,7
};,6
f,6
\validadeCartao,\,6
\System.out.println("\MasterCardA"\+\,6
&&,6
\nomeCartao,\,6
//,6
call,6
cosmapek.sensors,6
super.run();,6
Node,6
0;,6
5/28/2015,6
\System.out.println("\MasterCardB"\+\,6
string,6
\numeroCartao,\,6
Node[],6
'Payment',6
C),5
B,5
/registraCompra,5
model,5
IMPORTANT,5
one,5
throw,5
root,5
\cifCartao,\,5
Cosmos,5
this.manager.getRequiredInterface(IVisaManagerTag);,5
print,5
recebe,5
get,5
'Controller',5
found,5
\choose,\,5
constraints,5
atmost,5
loop,5
monitored,5
delete,5
@throws,5
The,5
parcelas);,5
log,5
featureModel);,5
\seperator,\,5
(ISensorUpdaterManager),5
File,5
code,5
sensorThread.start();,5
<,5
mï¿½todo,5
no,5
fixed,5
sensorThread.getState().toString());,5
sets,5
'TODO'annotations,5
false,5
Parï¿½metros,5
value,5
needs,5
\"\MasterCardB\,5
os,5
TimeoutException,5
currently,5
atleast,5
remove(),4
hasNext(),4
List<String>,4
false;,4
substitution,4
(VisaC.prov.IVisaManager),4
arrayList.get(currentIndex++);,4
identifying,4
|,4
(MasterCardB.prov.IMasterCardManager),4
'ICatalogueManager',4
